Router1,Router2,Cost,Capacity
CHENNAI-PE-08,CHENNAI-PP-07,0.297,20
CHENNAI-PE-09,CHENNAI-PP-06,0.577333333,30
CHENNAI-PE-09,CHENNAI-PP-07,0.569,20
CHENNAI-PE-11,CHENNAI-PP-06,0.383833333,60
CHENNAI-PE-13,CHENNAI-PP-06,0.000545455,110
CHENNAI-PE-13,CHENNAI-PP-07,0.002,10
CHENNAI-PE-14,CHENNAI-PP-06,0.237,10
CHENNAI-PE-14,CHENNAI-PP-07,0.06825,40
CHENNAI-PE-15,CHENNAI-PP-06,0.563,10
CHENNAI-PE-15,CHENNAI-PP-07,0.051,10
CHENNAI-PE-16,CHENNAI-PP-06,0.381,20
CHENNAI-PE-16,CHENNAI-PP-07,0,10
CHENNAI-PE-17,CHENNAI-PP-06,0.045,10
CHENNAI-PE-17,CHENNAI-PP-07,0.0041,100
CHENNAI-PE-18,CHENNAI-PP-06,0.60335,200
CHENNAI-PE-18,CHENNAI-PP-07,0,10
CHENNAI-PE-19,CHENNAI-PP-06,0.399,10
CHENNAI-PE-19,CHENNAI-PP-07,0.398,10
CHENNAI-PP-04,CHENNAI-PP-05,0.552115385,260
CHENNAI-PP-04,CHENNAI-PP-06,0.434433333,300
CHENNAI-PP-04,COIMBATORE-PP-02,0.733333333,60
CHENNAI-PP-04,CUTTACK-PP-01,0.665,20
CHENNAI-PP-04,ERNAKULAM-PP-02,0.74775,120
CHENNAI-PP-04,GUWAHATI-PP-02,0.8195,60
